#GAME Книга %d
#MAP Карта %d
#BC %d до Н.Э.
#AD %d Н.Э.
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A Model %d
#TILESIZE %dx%d

Враждебное
Холодное
Недружелюбное
Нейтральное
Дружеское
Сердечное
Восторженное

#CREDIBILITY
Лживый
Непредсказуемый
Нормальный
Порядочный

#CITYEVENTS
Гражданские беспорядки
Создание завершено
Прирост населения
Уменьшение населения
Отряд расформирован
Городская постройка продана
Нехватка продовольствия
Достигнут максимальный размер
Загрязнение
Город в осаде
Оказывается это уже есть
Задержка эмиграции
Город основан
Присоединение завершено
Город захвачен
Этот тип города не действителен

#CITYTYPE
Обычный город
Научный город
Промышленный город
Мегаполис

#DIAGRAM
Население
Территория
Военная мощь
Технологии
Исследования
Развитие

#JOBRESULT
*
Дорога
Железная дорога
Вырубленный лес
Ирригация
Ферма
Посаженный лес
Шахта
Канал
Преобразованная земля
Крепость
Очищенная земля
Военная база
Разграблено
Поселение
Мост
Железнодорожный мост
Очистка
Равнины
Утечка

#ARMYLOST
#A армия уничтожена.
#A флот уничтожен.
#A группа уничтожена.

#SPYMISSION
Саботировать производство
Украсть карты
Получить информацию о другой стране
Подготовить отчет о нации
Подготовить военный отчет о нации

#WANT
Спросить отчет о нации
Спросить военную информацию
Спросить карту мира
*
Спросить исследование
Спросить информацию об юните
Спросить денег
*
*
*
Спросить части космического корабля
Позволить им что-то предложить

#OFFER
Предложить отчет о нации
Предложить военную информацию
Предложить карту мира
*
Предложить исследование
ПРедложить информацию об юните
Предложить денег
*
*
*
Предложить части космического корабля
Спросить, что бы они хотели у вас взять

#CITYMANAGETYPE
Полный контроль
Максимум\Исследований
Быстро\Исследовать
Максимум\Прироста населения
Быстро\Производить
Максимум\Производства

#SETTINGS
Full screen
Gamma
Restart is needed to apply changes
