#GAME Partita %d
#MAP Mappa %d
#BC %d aC
#AD %d dC
#SHARE %d/%d
#SHORTNAME #S
#OWNED %s #A
#GENCITY #S %d
#GENMODEL Modello #A %d

Monarchia
Repubblica
Integralismo
Comunismo
Democrazia
Tecnocrazia

#TREATY
Nessun trattato
*
Pace
Collaborazione
Alleanza

#HAVETREATY
Contatto con #n
*
Pace con #n
Collaborazione con #n
Alleanza con #n

#CREDIBILITY
Bugiardo
Imprevedibile
Isolazionista
Rispettabile

#CITYEVENTS
Sommossa
Produzione completa
Popolazione cresciuta
Popolazione diminuita
Unità congedata
Edificio smantellato
Produzione sabotata!
Grandezza massima raggiunta
Inquinamento
Città sotto assedio
La Meraviglia esiste già
Emigrazione rimandata
Città fondata
Controllo stabilito
Occupata
Tipo città non più valido

#CITYTYPE
Città comune
Città scientifica
Città industriale
Metropoli

#DIAGRAM
Popolazione
Territorio
Potenza militare
Tecnologia
Esplorazione
Agricoltura

#JOBRESULT
*
Strada
Ferrovia
Disbosca
Irrigazione
Fattorie
Rimbosca
Miniera
Canale
Trasforma
Fortezza
Ripulisci
Base militare
Saccheggia
Insedia
Ponte
Ponte ferroviario
Pulisci
Pianura
Drena

#ARMYLOST
Esercito #A distrutto.
Flotta #A distrutta.
Gruppo #A distrutto.

#SPYMISSION
Sabota la produzione
Spia le mappe
Ottieni informazioni su nazioni terze
Stendi rapporto generale
Stendi rapporto militare

#WANT
Richiedi informazioni generali
Richiedi informazioni militari
Richiedi mappa
*
Richiedi progresso
Richiedi modello di unità
Richiedi pagamento
*
*
*
Richiedi parte di astronave
Lascia offrire a loro

#OFFER
Offri informazioni generali
Offri informazioni militari
Offri mappa
*
Offri progresso
Offri modello di unità
Offri pagamento
*
*
*
Offri parte di astronave
Lascia richiedere a loro

#CITYMANAGETYPE
Controllo totale
Massimizza\ricerca
Favorisci\ricerca
Massimizza\crescita
Favorisci\produzione
Massimizza\produzione

#SETTINGS
Full screen
Gamma
Restart is needed to apply changes
Primary
Secondary
Languages
Key bindings
